name,email,homes,address,price_per_night,role,start_date,end_date,total
John,john@email.com,zana homes,Ntebbe rd 111,$100,Visitor,10/11/2021,12/01/2022,
Joy,Joy@email.com,chelooz AirBnB,"chelloo rd, k'la",$99,Visitor,11/11/2021,13/01/2022,
Mike,mike@email.com,mafriika,exotic streets uganda,$60,Visitor,12/10/2021,14/01/2022,
Chill,chill@email.com,enoola homes,99th maple street,$73,Visitor,13/11/2021,15/01/2022,
Simon,simon@email.com,king comfort AirBnB,lagos-kampala 200 strt,$74,Owner,14/11/2002,16/01/3030,
Barbie,barb@email.com,monalissaaz Palace,123244-mains,$75,Owner,15/09/2004,17/01/3022,
Tinashe,tinash@email.com,kingdomm,pink road,$76,Owner,16/01/2000,18/01/3022,
Tush,tush@email.com,pineapples House,spongebob's main strt,$77,Owner,17/01/2020,19/01/3000,
Christopher,chris@email.com,rocks AirBnB,underhill side ,$78,Owner,18/11/2019,20/01/2060,
Jackie,jackie@email.com,lashlifee,"southside, mukono",$79,Visitor,19/11/2020,21/01/2022,
Mayson,mayson@email.com,central house,spongebob's main strt,$80,Visitor,20/11/2021,22/01/2022,
Blunt,blunt@email.com,nearby AirBnB,"tiny road, kamokya",$81,Owner,21/07/2018,23/01/2059,
Collin,collin@email.com,loops,kisementi area 55,$82,Owner,22/02/2021,24/01/2070,
Allan Smith,allan smith@email.com,grandhouse ,grand strt plot 08,$70,Owner,10/05/2021,25/01/2082,
Destiny ,destiny@email.com,vacation home holmes,llll road,$84,Owner,24/11/2011,26/01/2052,
Nakum,nakum@email.com,beach house,lakeview road,$85,Visitor,25/11/2021,27/01/2022,
Ashaba,ashaba@email.com,lake house,bikini bottom rd,$86,Visitor,26/11/2021,28/01/2022,
Sarah,sarah@email.com,my house abnb,yellow strt,$87,Visitor,27/11/2021,29/01/2022,
Jamugisa,jamugisa@email.com,boujee home abnb,clout 99,$88,Visitor,28/11/2021,30/01/2022,
Muganga,muganga@email.com,calm home,"chill strt off mainth, k'la",$89,Owner,29/11/2002,31/01/3022,
Isaac,isaac@email.com,water loo abnb,"lagoon strt 02, ebbs",$90,Owner,30/11/2000,01/02/2028,
Mabira,mabira@email.com,water springs abnb,"bakersfiels strt, ebbs",$91,Owner,01/12/2021,02/02/2022,
Peter,peter@email.com,antelope abnb,"bakersfiels strt 1, ebbs",$92,Owner,02/12/2021,03/02/2022,
Momodou ,momodou@email.com,wild house,newstrt,$93,Owner,03/12/2021,04/02/2022,
Tracy,tracy@email.com,fresh airbnb,lagos-kampala main strt,$94,Owner,04/12/2021,05/02/2022,
Sekamatte,sekamatte@email.com,hazekiah's airbnb,"lagoon strt 55, ebbs",$95,Visitor,05/12/2021,06/02/2022,
Daphine,daphine@email.com,mtk airbnb,acacia avenue,$96,Visitor,06/12/2021,07/02/2022,
Ankunda,ankunda@email.com,neyoz homes,sore strt k'la,$97,Owner,07/12/2021,08/02/2022,
Aaron,aaron@email.com,well estabished,munyonyo golden rd,$98,Visitor,08/12/2021,09/02/2022,
MUTUA,mutua@email.com,new comers,kitante hill plot 50,$99,Owner,09/12/2021,10/02/2022,
Nkata,nkata@email.com,halellujiah airbnb,"balabambam yellow street, ntinda",$100,Owner,10/12/2021,11/02/2022,
Ayebare,ayebare@email.com,touch of heaven homes,"ndundus, ntinda rd",$101,Visitor,11/12/2021,12/02/2022,
AROU,arou@email.com,hey there,"complex, naalya plot 55",$102,Visitor,12/12/2021,13/02/2022,
ISAIAH,izaiah@email.com,Zayaz Cribs,main strt k'la,$300,Owner,05/02/2021,14/02/3000,
MOGA,moga@email.com,Speak homes,"zana rd, nakasero",$104,Visitor,14/12/2021,15/02/2022,
Katukunda,katukunda@email.com,black lake cabin,beach view 10th avenue,$105,Visitor,15/12/2021,16/02/2022,
Wilson,wilson@email.com,the retreat on landslale,"riverdale, southside",$106,Visitor,16/12/2021,17/02/2022,
NYIDJO,nyidjo@email.com,apartment cove,"main cave, bugolobi",$107,Visitor,17/12/2021,18/02/2022,
DHEKANA,dhekana@email.com,touch of class,"golden strt, kololo",$108,Visitor,18/12/2021,19/02/2022,
Abigail,abigail@email.com,the sunset,"golden strt 10, kololo",$109,Visitor,19/12/2021,20/02/2022,
NABIL,nabil@email.com,the moonrise,"over yonder, k'la",$110,Visitor,20/12/2021,21/02/2022,
Ninziza,ninziza@email.com,all rises,"yellow forest village, bugolobi",$111,Visitor,21/12/2021,22/02/2022,
Emmanuel,emmanuel@email.com,dwell well abnb,"blue grass, muyenga",$112,Owner,22/12/2021,23/02/2032,
HASSAN BAHATI,hassan bahati@email.com,LA,"palm streets, ebbs",$113,Owner,23/12/2021,24/02/3090,
KAAMULI,kaamuli@email.com,devine vine,vines plot 5,$114,Owner,24/12/2021,25/02/3022,
IAN,ian@email.com,relax holmes,"yellow road, kansanga",$115,Owner,25/01/2021,26/02/2072,
TIRZAH,tirzah@email.com,restoration homes,"blue bird, kansanga",$116,Owner,26/04/2020,27/02/2082,
Martha ,martha@email.com,air bnb,8th street,$117,Visitor,27/12/2021,28/02/2022,
Vien,vien@email.com,home abnb,maamaaa strt,$118,Visitor,28/12/2021,01/03/2022,
Munjwok ,munjwok@email.com,new house home,"newest block 08, k'la",$119,Visitor,29/12/2021,02/03/2022,
Martin,martin@email.com,gardenz airbnb,gard road,$120,Visitor,30/12/2021,03/03/2022,
